S.No,Name,Date,Rating,Title,Review,Language,Translated_Review,Final_Review,cleaned_review,word_tokens,sent_tokens,filtered_tokens,lemmatized_tokens,normalized_review
46,Soni S. 🇮🇳,Published date12/05/25,2,Not so good,Breakouts was even more after using this.,en,Breakouts was even more after using this.,Breakouts was even more after using this.,breakouts was even more after using this.,"['breakouts', 'was', 'even', 'more', 'after', 'using', 'this', '.']",['breakouts was even more after using this.'],['breakouts'],['breakout'],breakout
47,Karthikeyan S. 🇮🇳,Published date05/05/25,3,No change in my face,I used 3rd bottel but no change in my face,en,I used 3rd bottel but no change in my face,I used 3rd bottel but no change in my face,i used 3rd bottel but no change in my face,"['i', 'used', '3rd', 'bottel', 'but', 'no', 'change', 'in', 'my', 'face']",['i used 3rd bottel but no change in my face'],"['bottel', 'change', 'face']","['bottel', 'change', 'face']",bottel change face
48,Muralikrishna M. 🇮🇳,Published date27/04/25,5,Very good product,Excellent. After face wash Feels oil free on my face,en,Excellent. After face wash Feels oil free on my face,Excellent. After face wash Feels oil free on my face,excellent. after face wash feels oil free on my face,"['excellent', '.', 'after', 'face', 'wash', 'feels', 'oil', 'free', 'on', 'my', 'face']","['excellent.', 'after face wash feels oil free on my face']","['excellent', 'face', 'wash', 'feels', 'oil', 'free', 'face']","['excellent', 'face', 'wash', 'feel', 'oil', 'free', 'face']",excellent face wash feel oil free face
49,Daya B. 🇮🇳,Published date14/05/25,5,Good product,Good product,en,Good product,Good product,good product,"['good', 'product']",['good product'],"['good', 'product']","['good', 'product']",good product
50,Pavi T. 🇮🇳,Published date12/04/25,5,One product was missed,"aadhyasardhana@gmail.com
I am not received one clenser one clenser was missing I already shared mail about this but my problem was not resolved",en,"aadhyasardhana@gmail.com
I am not received one clenser one clenser was missing I already shared mail about this but my problem was not resolved","aadhyasardhana@gmail.com
I am not received one clenser one clenser was missing I already shared mail about this but my problem was not resolved",aadhyasardhana gmail.com i am not received one clenser one clenser was missing i already shared mail about this but my problem was not resolved,"['aadhyasardhana', 'gmail.com', 'i', 'am', 'not', 'received', 'one', 'clenser', 'one', 'clenser', 'was', 'missing', 'i', 'already', 'shared', 'mail', 'about', 'this', 'but', 'my', 'problem', 'was', 'not', 'resolved']",['aadhyasardhana gmail.com i am not received one clenser one clenser was missing i already shared mail about this but my problem was not resolved'],"['aadhyasardhana', 'received', 'clenser', 'clenser', 'missing', 'shared', 'mail', 'problem', 'resolved']","['aadhyasardhana', 'receive', 'clenser', 'clenser', 'miss', 'share', 'mail', 'problem', 'resolve']",aadhyasardhana receive clenser clenser miss share mail problem resolve
51,vishal p. 🇮🇳,Published date24/03/25,1,Negative effect,"I started using the product but then the acne and marks grew more and after a week I stopped using it. Now with some herbal methods, it is shrinking but because of this product I got my half face covered in acne",en,"I started using the product but then the acne and marks grew more and after a week I stopped using it. Now with some herbal methods, it is shrinking but because of this product I got my half face covered in acne","I started using the product but then the acne and marks grew more and after a week I stopped using it. Now with some herbal methods, it is shrinking but because of this product I got my half face covered in acne","i started using the product but then the acne and marks grew more and after a week i stopped using it. now with some herbal methods, it is shrinking but because of this product i got my half face covered in acne","['i', 'started', 'using', 'the', 'product', 'but', 'then', 'the', 'acne', 'and', 'marks', 'grew', 'more', 'and', 'after', 'a', 'week', 'i', 'stopped', 'using', 'it', '.', 'now', 'with', 'some', 'herbal', 'methods', ',', 'it', 'is', 'shrinking', 'but', 'because', 'of', 'this', 'product', 'i', 'got', 'my', 'half', 'face', 'covered', 'in', 'acne']","['i started using the product but then the acne and marks grew more and after a week i stopped using it.', 'now with some herbal methods, it is shrinking but because of this product i got my half face covered in acne']","['started', 'product', 'acne', 'marks', 'grew', 'week', 'stopped', 'herbal', 'methods', 'shrinking', 'product', 'got', 'half', 'face', 'covered', 'acne']","['start', 'product', 'acne', 'mark', 'grow', 'week', 'stop', 'herbal', 'method', 'shrink', 'product', 'get', 'half', 'face', 'cover', 'acne']",start product acne mark grow week stop herbal method shrink product get half face cover acne
52,Hemant k. 🇮🇳,Published date17/05/25,3,🙏🙏,Just ok ok not that good,en,Just ok ok not that good,Just ok ok not that good,just ok ok not that good,"['just', 'ok', 'ok', 'not', 'that', 'good']",['just ok ok not that good'],"['ok', 'ok', 'good']","['ok', 'ok', 'good']",ok ok good
53,Deepak S. 🇮🇳,Published date13/05/25,5,Excellent,Best' product,en,Best' product,Best' product,best' product,"['best', ""'"", 'product']","[""best' product""]","['best', 'product']","['good', 'product']",good product
54,Parthav T. 🇮🇳,Published date01/04/25,1,Worst experience,Not working well there are hard lumpy thing's inside the bottle and it's not good I asked for replacement but no response,en,Not working well there are hard lumpy thing's inside the bottle and it's not good I asked for replacement but no response,Not working well there are hard lumpy thing's inside the bottle and it's not good I asked for replacement but no response,not working well there are hard lumpy thing's inside the bottle and it's not good i asked for replacement but no response,"['not', 'working', 'well', 'there', 'are', 'hard', 'lumpy', 'thing', ""'s"", 'inside', 'the', 'bottle', 'and', 'it', ""'s"", 'not', 'good', 'i', 'asked', 'for', 'replacement', 'but', 'no', 'response']","[""not working well there are hard lumpy thing's inside the bottle and it's not good"", 'i asked for replacement but no response']","['working', 'hard', 'lumpy', 'thing', 'inside', 'bottle', 'good', 'asked', 'replacement', 'response']","['work', 'hard', 'lumpy', 'thing', 'inside', 'bottle', 'good', 'ask', 'replacement', 'response']",work hard lumpy thing inside bottle good ask replacement response
55,Mohammed S. 🇮🇳,Published date27/05/25,4,Nil,Nil,sw,Nil,Nil,nil,['nil'],['nil'],['nil'],['nil'],nil
56,Aniket 🇮🇳,Published date23/04/25,5,Apt and to the point. No fancy names.,It's good but if paired with good products. Results will take time.,en,It's good but if paired with good products. Results will take time.,It's good but if paired with good products. Results will take time.,it's good but if paired with good products. results will take time.,"['it', ""'s"", 'good', 'but', 'if', 'paired', 'with', 'good', 'products', '.', 'results', 'will', 'take', 'time', '.']","[""it's good but if paired with good products."", 'results will take time.']","['good', 'paired', 'good', 'products', 'results', 'time']","['good', 'pair', 'good', 'product', 'result', 'time']",good pair good product result time
57,Twinkle P. 🇮🇳,Published date29/03/25,5,Thank you,"I have many black heads and dull skin. This cleanser is just too good. I can seen improvement in both within 3weeks.
Thank you minimalist. . .",en,"I have many black heads and dull skin. This cleanser is just too good. I can seen improvement in both within 3weeks.
Thank you minimalist. . .","I have many black heads and dull skin. This cleanser is just too good. I can seen improvement in both within 3weeks.
Thank you minimalist. . .",i have many black heads and dull skin. this cleanser is just too good. i can seen improvement in both within 3weeks. thank you minimalist. . .,"['i', 'have', 'many', 'black', 'heads', 'and', 'dull', 'skin', '.', 'this', 'cleanser', 'is', 'just', 'too', 'good', '.', 'i', 'can', 'seen', 'improvement', 'in', 'both', 'within', '3weeks', '.', 'thank', 'you', 'minimalist', '.', '.', '.']","['i have many black heads and dull skin.', 'this cleanser is just too good.', 'i can seen improvement in both within 3weeks.', 'thank you minimalist. . .']","['black', 'heads', 'dull', 'skin', 'cleanser', 'good', 'seen', 'improvement', 'thank', 'minimalist']","['black', 'head', 'dull', 'skin', 'cleanser', 'good', 'see', 'improvement', 'thank', 'minimalist']",black head dull skin cleanser good see improvement thank minimalist
58,Paras M. 🇮🇳,Published date02/04/25,5,Cleanses my oily skin well`,"I have oily skin type and it cleanse my face quite well without leaving it dry. This was, I guess, my 5th bottle of facewash.",en,"I have oily skin type and it cleanse my face quite well without leaving it dry. This was, I guess, my 5th bottle of facewash.","I have oily skin type and it cleanse my face quite well without leaving it dry. This was, I guess, my 5th bottle of facewash.","i have oily skin type and it cleanse my face quite well without leaving it dry. this was, i guess, my 5th bottle of facewash.","['i', 'have', 'oily', 'skin', 'type', 'and', 'it', 'cleanse', 'my', 'face', 'quite', 'well', 'without', 'leaving', 'it', 'dry', '.', 'this', 'was', ',', 'i', 'guess', ',', 'my', '5th', 'bottle', 'of', 'facewash', '.']","['i have oily skin type and it cleanse my face quite well without leaving it dry.', 'this was, i guess, my 5th bottle of facewash.']","['oily', 'skin', 'type', 'cleanse', 'face', 'leaving', 'dry', 'guess', 'bottle', 'facewash']","['oily', 'skin', 'type', 'cleanse', 'face', 'leave', 'dry', 'guess', 'bottle', 'facewash']",oily skin type cleanse face leave dry guess bottle facewash
59,Akhila G. 🇮🇳,Published date07/04/25,2,Not satisfied,The product made my face more oily and there occurred more acne after using it. I am not satisfied with the product,en,The product made my face more oily and there occurred more acne after using it. I am not satisfied with the product,The product made my face more oily and there occurred more acne after using it. I am not satisfied with the product,the product made my face more oily and there occurred more acne after using it. i am not satisfied with the product,"['the', 'product', 'made', 'my', 'face', 'more', 'oily', 'and', 'there', 'occurred', 'more', 'acne', 'after', 'using', 'it', '.', 'i', 'am', 'not', 'satisfied', 'with', 'the', 'product']","['the product made my face more oily and there occurred more acne after using it.', 'i am not satisfied with the product']","['product', 'face', 'oily', 'occurred', 'acne', 'satisfied', 'product']","['product', 'face', 'oily', 'occur', 'acne', 'satisfied', 'product']",product face oily occur acne satisfied product
60,Mukundan s. 🇮🇳,Published date05/04/25,5,Works well,This cleanser has helped reduce oiliness to a greater extent and even help with reducing Acne.,en,This cleanser has helped reduce oiliness to a greater extent and even help with reducing Acne.,This cleanser has helped reduce oiliness to a greater extent and even help with reducing Acne.,this cleanser has helped reduce oiliness to a greater extent and even help with reducing acne.,"['this', 'cleanser', 'has', 'helped', 'reduce', 'oiliness', 'to', 'a', 'greater', 'extent', 'and', 'even', 'help', 'with', 'reducing', 'acne', '.']",['this cleanser has helped reduce oiliness to a greater extent and even help with reducing acne.'],"['cleanser', 'helped', 'reduce', 'oiliness', 'greater', 'extent', 'help', 'reducing', 'acne']","['cleanser', 'help', 'reduce', 'oiliness', 'great', 'extent', 'help', 'reduce', 'acne']",cleanser help reduce oiliness great extent help reduce acne
61,suhail s. 🇮🇳,Published date21/05/25,1,Break out,Acneeee,nl,Acneeee,Acneeee,acneeee,['acneeee'],['acneeee'],['acneeee'],['acneeee'],acneeee
62,Anirudh H. 🇮🇳,Published date20/04/25,5,good,it was really good product i just loved it!,en,it was really good product i just loved it!,it was really good product i just loved it!,it was really good product i just loved it!,"['it', 'was', 'really', 'good', 'product', 'i', 'just', 'loved', 'it', '!']",['it was really good product i just loved it!'],"['good', 'product', 'loved']","['good', 'product', 'love']",good product love
63,Sngewtynnadlem K. 🇮🇳,Published date18/05/25,2,Not really working on my oily skin,Not for me,en,Not for me,Not for me,not for me,"['not', 'for', 'me']",['not for me'],[],[],
64,Sidipto R. 🇮🇳,Published date24/02/25,5,Awesome Cleanser,This is my 3rd cleanser purchase. after using several brand face wash and cleanser I tried this one but really this is a great toner. face skin and pores absolutely clean without drying skin and looking fresh after cleaned everytime. this is perfect for oily skin. I just loved this cleanser.,en,This is my 3rd cleanser purchase. after using several brand face wash and cleanser I tried this one but really this is a great toner. face skin and pores absolutely clean without drying skin and looking fresh after cleaned everytime. this is perfect for oily skin. I just loved this cleanser.,This is my 3rd cleanser purchase. after using several brand face wash and cleanser I tried this one but really this is a great toner. face skin and pores absolutely clean without drying skin and looking fresh after cleaned everytime. this is perfect for oily skin. I just loved this cleanser.,this is my 3rd cleanser purchase. after using several brand face wash and cleanser i tried this one but really this is a great toner. face skin and pores absolutely clean without drying skin and looking fresh after cleaned everytime. this is perfect for oily skin. i just loved this cleanser.,"['this', 'is', 'my', '3rd', 'cleanser', 'purchase', '.', 'after', 'using', 'several', 'brand', 'face', 'wash', 'and', 'cleanser', 'i', 'tried', 'this', 'one', 'but', 'really', 'this', 'is', 'a', 'great', 'toner', '.', 'face', 'skin', 'and', 'pores', 'absolutely', 'clean', 'without', 'drying', 'skin', 'and', 'looking', 'fresh', 'after', 'cleaned', 'everytime', '.', 'this', 'is', 'perfect', 'for', 'oily', 'skin', '.', 'i', 'just', 'loved', 'this', 'cleanser', '.']","['this is my 3rd cleanser purchase.', 'after using several brand face wash and cleanser i tried this one but really this is a great toner.', 'face skin and pores absolutely clean without drying skin and looking fresh after cleaned everytime.', 'this is perfect for oily skin.', 'i just loved this cleanser.']","['cleanser', 'purchase', 'brand', 'face', 'wash', 'cleanser', 'tried', 'great', 'toner', 'face', 'skin', 'pores', 'absolutely', 'clean', 'drying', 'skin', 'looking', 'fresh', 'cleaned', 'everytime', 'perfect', 'oily', 'skin', 'loved', 'cleanser']","['cleanser', 'purchase', 'brand', 'face', 'wash', 'cleanser', 'try', 'great', 'toner', 'face', 'skin', 'pore', 'absolutely', 'clean', 'dry', 'skin', 'look', 'fresh', 'clean', 'everytime', 'perfect', 'oily', 'skin', 'love', 'cleanser']",cleanser purchase brand face wash cleanser try great toner face skin pore absolutely clean dry skin look fresh clean everytime perfect oily skin love cleanser
65,Jessica C. 🇮🇳,Published date03/04/25,4,Tiny bumps,"I started to get lots of tiny bumps on my face after using it
Maybe I should give it some time and see",en,"I started to get lots of tiny bumps on my face after using it
Maybe I should give it some time and see","I started to get lots of tiny bumps on my face after using it
Maybe I should give it some time and see",i started to get lots of tiny bumps on my face after using it maybe i should give it some time and see,"['i', 'started', 'to', 'get', 'lots', 'of', 'tiny', 'bumps', 'on', 'my', 'face', 'after', 'using', 'it', 'maybe', 'i', 'should', 'give', 'it', 'some', 'time', 'and', 'see']",['i started to get lots of tiny bumps on my face after using it maybe i should give it some time and see'],"['started', 'lots', 'tiny', 'bumps', 'face', 'maybe', 'time']","['start', 'lot', 'tiny', 'bump', 'face', 'maybe', 'time']",start lot tiny bump face maybe time
66,Varun D. 🇮🇳,Published date07/04/25,4,Gentle cleanser,Using this for past few weeks good gentle facewash,en,Using this for past few weeks good gentle facewash,Using this for past few weeks good gentle facewash,using this for past few weeks good gentle facewash,"['using', 'this', 'for', 'past', 'few', 'weeks', 'good', 'gentle', 'facewash']",['using this for past few weeks good gentle facewash'],"['past', 'weeks', 'good', 'gentle', 'facewash']","['past', 'week', 'good', 'gentle', 'facewash']",past week good gentle facewash
67,Lina S. 🇮🇳,Published date26/01/25,4,Definately worth a try,"It has worked on my skin so well, i had been finding a face wash for my sensitive acne prone skin including tiny comedones, for a long time. I was recommended this facewash by my sister and it worked so well on my skin, it reduced my bumps but I don't see any major effect on blackheads after using i...",en,"It has worked on my skin so well, i had been finding a face wash for my sensitive acne prone skin including tiny comedones, for a long time. I was recommended this facewash by my sister and it worked so well on my skin, it reduced my bumps but I don't see any major effect on blackheads after using i...","It has worked on my skin so well, i had been finding a face wash for my sensitive acne prone skin including tiny comedones, for a long time. I was recommended this facewash by my sister and it worked so well on my skin, it reduced my bumps but I don't see any major effect on blackheads after using i...","it has worked on my skin so well, i had been finding a face wash for my sensitive acne prone skin including tiny comedones, for a long time. i was recommended this facewash by my sister and it worked so well on my skin, it reduced my bumps but i don't see any major effect on blackheads after using i...","['it', 'has', 'worked', 'on', 'my', 'skin', 'so', 'well', ',', 'i', 'had', 'been', 'finding', 'a', 'face', 'wash', 'for', 'my', 'sensitive', 'acne', 'prone', 'skin', 'including', 'tiny', 'comedones', ',', 'for', 'a', 'long', 'time', '.', 'i', 'was', 'recommended', 'this', 'facewash', 'by', 'my', 'sister', 'and', 'it', 'worked', 'so', 'well', 'on', 'my', 'skin', ',', 'it', 'reduced', 'my', 'bumps', 'but', 'i', 'do', ""n't"", 'see', 'any', 'major', 'effect', 'on', 'blackheads', 'after', 'using', 'i', '...']","['it has worked on my skin so well, i had been finding a face wash for my sensitive acne prone skin including tiny comedones, for a long time.', ""i was recommended this facewash by my sister and it worked so well on my skin, it reduced my bumps but i don't see any major effect on blackheads after using i...""]","['worked', 'skin', 'finding', 'face', 'wash', 'sensitive', 'acne', 'prone', 'skin', 'including', 'tiny', 'comedones', 'long', 'time', 'recommended', 'facewash', 'sister', 'worked', 'skin', 'reduced', 'bumps', 'major', 'effect', 'blackheads']","['work', 'skin', 'find', 'face', 'wash', 'sensitive', 'acne', 'prone', 'skin', 'include', 'tiny', 'comedo', 'long', 'time', 'recommend', 'facewash', 'sister', 'work', 'skin', 'reduce', 'bump', 'major', 'effect', 'blackhead']",work skin find face wash sensitive acne prone skin include tiny comedo long time recommend facewash sister work skin reduce bump major effect blackhead
68,Shailja R. 🇮🇳,Published date18/03/25,4,Enhances skin texture,Does regulate oil and cleanses well,en,Does regulate oil and cleanses well,Does regulate oil and cleanses well,does regulate oil and cleanses well,"['does', 'regulate', 'oil', 'and', 'cleanses', 'well']",['does regulate oil and cleanses well'],"['regulate', 'oil', 'cleanses']","['regulate', 'oil', 'cleanse']",regulate oil cleanse
69,Sikha S. 🇮🇳,Published date19/03/25,1,WORST DELIVERY EVER,I ordered the products on 9 march 2025 and it showed me the delivery date as 14 march 2025. . . today is 19 march and I still haven't received the product. . . did not expect this from minimalist. . . customer care service is trash no cooperation from anywhere. . . if u guys want to order remember i...,en,I ordered the products on 9 march 2025 and it showed me the delivery date as 14 march 2025. . . today is 19 march and I still haven't received the product. . . did not expect this from minimalist. . . customer care service is trash no cooperation from anywhere. . . if u guys want to order remember i...,I ordered the products on 9 march 2025 and it showed me the delivery date as 14 march 2025. . . today is 19 march and I still haven't received the product. . . did not expect this from minimalist. . . customer care service is trash no cooperation from anywhere. . . if u guys want to order remember i...,i ordered the products on 9 march 2025 and it showed me the delivery date as 14 march 2025. . . today is 19 march and i still haven't received the product. . . did not expect this from minimalist. . . customer care service is trash no cooperation from anywhere. . . if u guys want to order remember i...,"['i', 'ordered', 'the', 'products', 'on', '9', 'march', '2025', 'and', 'it', 'showed', 'me', 'the', 'delivery', 'date', 'as', '14', 'march', '2025', '.', '.', '.', 'today', 'is', '19', 'march', 'and', 'i', 'still', 'have', ""n't"", 'received', 'the', 'product', '.', '.', '.', 'did', 'not', 'expect', 'this', 'from', 'minimalist', '.', '.', '.', 'customer', 'care', 'service', 'is', 'trash', 'no', 'cooperation', 'from', 'anywhere', '.', '.', '.', 'if', 'u', 'guys', 'want', 'to', 'order', 'remember', 'i', '...']","['i ordered the products on 9 march 2025 and it showed me the delivery date as 14 march 2025. . .', 'today is 19 march', ""and i still haven't received the product. ."", '. did not expect this from minimalist. . .', 'customer care service is trash no cooperation from anywhere. . .', 'if u guys want to order remember i...']","['ordered', 'products', 'march', 'showed', 'delivery', 'date', 'march', 'today', 'march', 'received', 'product', 'expect', 'minimalist', 'customer', 'care', 'service', 'trash', 'cooperation', 'u', 'guys', 'want', 'order', 'remember']","['order', 'product', 'march', 'show', 'delivery', 'date', 'march', 'today', 'march', 'receive', 'product', 'expect', 'minimalist', 'customer', 'care', 'service', 'trash', 'cooperation', 'u', 'guy', 'want', 'order', 'remember']",order product march show delivery date march today march receive product expect minimalist customer care service trash cooperation u guy want order remember
70,Jithya B. 🇮🇳,Published date07/02/25,5,Game Changer for Oily and Acne-Prone Skin,"I’ve struggled with oily skin and frequent pimples for years, but I finally found a solution that really works! This product has helped reduce the shine on my face and has noticeably minimized my breakouts. After using it consistently, my skin feels more balanced, and my pores don’t get clogged as e...",en,"I’ve struggled with oily skin and frequent pimples for years, but I finally found a solution that really works! This product has helped reduce the shine on my face and has noticeably minimized my breakouts. After using it consistently, my skin feels more balanced, and my pores don’t get clogged as e...","I’ve struggled with oily skin and frequent pimples for years, but I finally found a solution that really works! This product has helped reduce the shine on my face and has noticeably minimized my breakouts. After using it consistently, my skin feels more balanced, and my pores don’t get clogged as e...","i ve struggled with oily skin and frequent pimples for years, but i finally found a solution that really works! this product has helped reduce the shine on my face and has noticeably minimized my breakouts. after using it consistently, my skin feels more balanced, and my pores don t get clogged as e...","['i', 've', 'struggled', 'with', 'oily', 'skin', 'and', 'frequent', 'pimples', 'for', 'years', ',', 'but', 'i', 'finally', 'found', 'a', 'solution', 'that', 'really', 'works', '!', 'this', 'product', 'has', 'helped', 'reduce', 'the', 'shine', 'on', 'my', 'face', 'and', 'has', 'noticeably', 'minimized', 'my', 'breakouts', '.', 'after', 'using', 'it', 'consistently', ',', 'my', 'skin', 'feels', 'more', 'balanced', ',', 'and', 'my', 'pores', 'don', 't', 'get', 'clogged', 'as', 'e', '...']","['i ve struggled with oily skin and frequent pimples for years, but i finally found a solution that really works!', 'this product has helped reduce the shine on my face and has noticeably minimized my breakouts.', 'after using it consistently, my skin feels more balanced, and my pores don t get clogged as e...']","['ve', 'struggled', 'oily', 'skin', 'frequent', 'pimples', 'years', 'finally', 'found', 'solution', 'works', 'product', 'helped', 'reduce', 'shine', 'face', 'noticeably', 'minimized', 'breakouts', 'consistently', 'skin', 'feels', 'balanced', 'pores', 'don', 't', 'clogged', 'e']","['ve', 'struggle', 'oily', 'skin', 'frequent', 'pimple', 'year', 'finally', 'find', 'solution', 'work', 'product', 'help', 'reduce', 'shine', 'face', 'noticeably', 'minimize', 'breakout', 'consistently', 'skin', 'feel', 'balanced', 'pore', 'don', 't', 'clog', 'e']",ve struggle oily skin frequent pimple year finally find solution work product help reduce shine face noticeably minimize breakout consistently skin feel balanced pore don t clog e
71,Anusha D. 🇮🇳,Published date26/04/25,5,Great product,👍,unknown,👍,👍,,[],[],[],[],
72,Bhavesh B. 🇮🇳,Published date10/03/25,4,Good but got better option,"it's actually a good one , but I tried Cetaphil cleanser before these and I found that better 
a combination of minimalist salicylic acid 2% and Cetaphil cleanser is better working for acne ( sensitive ) and combination based skin",en,"it's actually a good one , but I tried Cetaphil cleanser before these and I found that better 
a combination of minimalist salicylic acid 2% and Cetaphil cleanser is better working for acne ( sensitive ) and combination based skin","it's actually a good one , but I tried Cetaphil cleanser before these and I found that better 
a combination of minimalist salicylic acid 2% and Cetaphil cleanser is better working for acne ( sensitive ) and combination based skin","it's actually a good one , but i tried cetaphil cleanser before these and i found that better a combination of minimalist salicylic acid 2 and cetaphil cleanser is better working for acne sensitive and combination based skin","['it', ""'s"", 'actually', 'a', 'good', 'one', ',', 'but', 'i', 'tried', 'cetaphil', 'cleanser', 'before', 'these', 'and', 'i', 'found', 'that', 'better', 'a', 'combination', 'of', 'minimalist', 'salicylic', 'acid', '2', 'and', 'cetaphil', 'cleanser', 'is', 'better', 'working', 'for', 'acne', 'sensitive', 'and', 'combination', 'based', 'skin']","[""it's actually a good one , but i tried cetaphil cleanser before these and i found that better a combination of minimalist salicylic acid 2 and cetaphil cleanser is better working for acne sensitive and combination based skin""]","['actually', 'good', 'tried', 'cetaphil', 'cleanser', 'found', 'better', 'combination', 'minimalist', 'salicylic', 'acid', 'cetaphil', 'cleanser', 'better', 'working', 'acne', 'sensitive', 'combination', 'based', 'skin']","['actually', 'good', 'try', 'cetaphil', 'cleanser', 'find', 'well', 'combination', 'minimalist', 'salicylic', 'acid', 'cetaphil', 'cleanser', 'well', 'work', 'acne', 'sensitive', 'combination', 'base', 'skin']",actually good try cetaphil cleanser find well combination minimalist salicylic acid cetaphil cleanser well work acne sensitive combination base skin
74,Jayesh P. 🇮🇳,Published date28/03/25,1,Half bottle,When i open my bottle it's half and when i check it it is not exactly quantity as mentioned in box,en,When i open my bottle it's half and when i check it it is not exactly quantity as mentioned in box,When i open my bottle it's half and when i check it it is not exactly quantity as mentioned in box,when i open my bottle it's half and when i check it it is not exactly quantity as mentioned in box,"['when', 'i', 'open', 'my', 'bottle', 'it', ""'s"", 'half', 'and', 'when', 'i', 'check', 'it', 'it', 'is', 'not', 'exactly', 'quantity', 'as', 'mentioned', 'in', 'box']","[""when i open my bottle it's half and when i check it it is not exactly quantity as mentioned in box""]","['open', 'bottle', 'half', 'check', 'exactly', 'quantity', 'mentioned', 'box']","['open', 'bottle', 'half', 'check', 'exactly', 'quantity', 'mention', 'box']",open bottle half check exactly quantity mention box
75,uday s. 🇮🇳,Published date11/03/25,4,Appreciation,"I find this product really good 
It's clean my skin so well 
For batter result apply twice a day 
I personally love it applying before sleeping 
It keep my face hydrated and not oily",en,"I find this product really good 
It's clean my skin so well 
For batter result apply twice a day 
I personally love it applying before sleeping 
It keep my face hydrated and not oily","I find this product really good 
It's clean my skin so well 
For batter result apply twice a day 
I personally love it applying before sleeping 
It keep my face hydrated and not oily",i find this product really good it's clean my skin so well for batter result apply twice a day i personally love it applying before sleeping it keep my face hydrated and not oily,"['i', 'find', 'this', 'product', 'really', 'good', 'it', ""'s"", 'clean', 'my', 'skin', 'so', 'well', 'for', 'batter', 'result', 'apply', 'twice', 'a', 'day', 'i', 'personally', 'love', 'it', 'applying', 'before', 'sleeping', 'it', 'keep', 'my', 'face', 'hydrated', 'and', 'not', 'oily']","['i find this product really good', ""it's clean my skin so well for batter result apply twice a day i personally love it applying before sleeping it keep my face hydrated and not oily""]","['find', 'product', 'good', 'clean', 'skin', 'batter', 'result', 'apply', 'twice', 'day', 'personally', 'love', 'applying', 'sleeping', 'face', 'hydrated', 'oily']","['find', 'product', 'good', 'clean', 'skin', 'batter', 'result', 'apply', 'twice', 'day', 'personally', 'love', 'apply', 'sleep', 'face', 'hydrate', 'oily']",find product good clean skin batter result apply twice day personally love apply sleep face hydrate oily
76,Anannya S. 🇮🇳,Published date25/03/25,5,Best ever!,"Thanks for existing, I am so glad minimalist exists, I can't think of any other brand, my always go to brand",en,"Thanks for existing, I am so glad minimalist exists, I can't think of any other brand, my always go to brand","Thanks for existing, I am so glad minimalist exists, I can't think of any other brand, my always go to brand","thanks for existing, i am so glad minimalist exists, i can't think of any other brand, my always go to brand","['thanks', 'for', 'existing', ',', 'i', 'am', 'so', 'glad', 'minimalist', 'exists', ',', 'i', 'ca', ""n't"", 'think', 'of', 'any', 'other', 'brand', ',', 'my', 'always', 'go', 'to', 'brand']","[""thanks for existing, i am so glad minimalist exists, i can't think of any other brand, my always go to brand""]","['thanks', 'existing', 'glad', 'minimalist', 'exists', 'think', 'brand', 'brand']","['thank', 'exist', 'glad', 'minimalist', 'exist', 'think', 'brand', 'brand']",thank exist glad minimalist exist think brand brand
77,Syed 🇮🇳,Published date23/04/25,5,Great,Improvement in pores,fr,Improvement in pores,Improvement in pores,improvement in pores,"['improvement', 'in', 'pores']",['improvement in pores'],"['improvement', 'pores']","['improvement', 'pore']",improvement pore
78,VISHAL V. 🇮🇳,Published date26/03/25,5,super product i love the packaging 🥰🥰🥰🥰🥰,best experience 🥰🥰🥰,en,best experience 🥰🥰🥰,best experience 🥰🥰🥰,best experience,"['best', 'experience']",['best experience'],"['best', 'experience']","['good', 'experience']",good experience
79,Saravanan 🇮🇳,Published date23/01/25,2,Broke me out,This product completely broke me out. I developed acne on my cheeks and forehead. I'm highly disappointed with minimalist as their products usually work well.,en,This product completely broke me out. I developed acne on my cheeks and forehead. I'm highly disappointed with minimalist as their products usually work well.,This product completely broke me out. I developed acne on my cheeks and forehead. I'm highly disappointed with minimalist as their products usually work well.,this product completely broke me out. i developed acne on my cheeks and forehead. i'm highly disappointed with minimalist as their products usually work well.,"['this', 'product', 'completely', 'broke', 'me', 'out', '.', 'i', 'developed', 'acne', 'on', 'my', 'cheeks', 'and', 'forehead', '.', 'i', ""'m"", 'highly', 'disappointed', 'with', 'minimalist', 'as', 'their', 'products', 'usually', 'work', 'well', '.']","['this product completely broke me out.', 'i developed acne on my cheeks and forehead.', ""i'm highly disappointed with minimalist as their products usually work well.""]","['product', 'completely', 'broke', 'developed', 'acne', 'cheeks', 'forehead', 'highly', 'disappointed', 'minimalist', 'products', 'usually', 'work']","['product', 'completely', 'break', 'develop', 'acne', 'cheek', 'forehead', 'highly', 'disappointed', 'minimalist', 'product', 'usually', 'work']",product completely break develop acne cheek forehead highly disappointed minimalist product usually work
80,9893502662 🇮🇳,Published date04/05/25,5,How,Hu crisp,ro,Hu crisp,Hu crisp,hu crisp,"['hu', 'crisp']","['hu', 'crisp']","['hu', 'crisp']","['hu', 'crisp']",hu crisp
